Latitude,Longitude,Year Built,Beds,Baths,buildingSize,lotSize,PostalCode,Price
29.796032,-95.529549,0.0,2.0,2.0,1260.0,0.0,77055,1550.0
29.771233,-95.564104,1960.0,5.0,5.0,3603.0,8638.0,77024,5000.0
29.766793,-95.62553,2001.0,4.0,4.0,2686.0,3829.0,77077,2950.0
29.733311,-95.608477,1981.0,2.0,2.0,1096.0,1943.0,77082,1190.0
29.943776,-95.18976,2023.0,4.0,4.0,2285.0,4800.0,77044,3450.0
29.752522,-95.499046,2016.0,2.0,3.0,1562.0,385587.0,77057,2996.0
29.763551,-95.36567,2021.0,1.0,1.0,1022.0,0.0,77002,2740.0
29.77453,-95.691452,0.0,3.0,2.0,1355.0,0.0,77094,2244.0
29.752576,-95.367741,0.0,1.0,1.0,783.0,0.0,77002,1575.0
29.68671,-95.36216,0.0,1.0,1.0,522.0,0.0,77021,633.0
29.72683,-95.498985,0.0,1.0,1.0,612.0,0.0,77057,1192.0
29.714402,-95.430146,1987.0,4.0,4.0,3492.0,5001.0,77005,6800.0
29.676361,-95.496376,0.0,1.0,1.0,725.0,0.0,77096,1749.0
29.618626,-95.408523,2007.0,3.0,2.0,1229.0,5066.0,77047,2300.0
29.898772,-95.221495,1982.0,3.0,2.0,1521.0,6242.0,77044,1650.0
29.737552,-95.406699,2023.0,3.0,3.0,2514.0,2400.0,77098,5000.0
29.8323,-95.26959,0.0,1.0,1.0,850.0,0.0,77028,949.0
29.71961,-95.414106,1946.0,3.0,3.0,2472.0,5998.0,77005,4500.0
29.736541,-95.329435,1952.0,1.0,1.0,400.0,5001.0,77023,975.0
30.029558,-95.452225,0.0,2.0,1.0,856.0,0.0,77090,1045.0
30.035737,-95.247766,2006.0,3.0,3.0,1452.0,5184.0,77339,1750.0
29.976807,-95.426445,0.0,2.0,2.0,1160.0,0.0,77090,1153.0
29.741875,-95.408579,0.0,2.0,2.0,1198.0,0.0,77098,2573.0
29.807021,-95.380111,2021.0,3.0,3.0,1612.0,1821.0,77009,2907.0
29.945295,-95.43885,0.0,2.0,2.0,1033.0,0.0,77067,1225.0
29.802339,-95.388748,1920.0,1.0,2.0,1151.0,11252.0,77008,1500.0
29.782328,-95.20723,0.0,2.0,1.0,817.0,0.0,77015,1155.0
29.868157,-95.473438,1978.0,2.0,3.0,1734.0,1525.0,77088,1550.0
29.73071,-95.378397,2008.0,3.0,4.0,2294.0,1442.0,77004,3525.0
29.687237,-95.401489,0.0,2.0,1.0,809.0,0.0,77054,1540.0
29.778166,-95.354864,1950.0,1.0,1.0,400.0,4687.0,77009,750.0
29.83135,-95.548958,0.0,1.0,1.0,600.0,0.0,77041,1364.0
29.767859,-95.410011,0.0,1.0,1.0,660.0,0.0,77007,1540.0
29.905449,-95.643224,1983.0,3.0,2.0,1713.0,7139.0,77095,1850.0
30.065489,-95.191019,1981.0,3.0,2.0,1631.0,7501.0,77339,1700.0
29.73918,-95.385239,0.0,1.0,1.0,670.0,0.0,77006,1395.0
29.744368,-95.62735,0.0,2.0,2.0,1393.0,0.0,77077,1967.0
29.710629,-95.516869,0.0,1.0,1.0,715.0,0.0,77036,852.0
29.750557,-95.364281,0.0,1.0,1.0,943.0,0.0,77002,2609.0
29.746613,-95.471588,2014.0,2.0,2.0,1287.0,115099.0,77056,2630.0
29.72989,-95.5633,1979.0,3.0,2.0,1010.0,0.0,77042,1386.0
29.758479,-95.552918,1964.0,5.0,4.0,3363.0,11922.0,77042,4600.0
29.782404,-95.447212,0.0,2.0,2.0,1025.0,0.0,77024,1675.0
29.742439,-95.622948,0.0,2.0,2.0,1148.0,0.0,77077,1440.0
29.756763,-95.390701,2008.0,1.0,2.0,1056.0,249947.0,77019,1750.0
29.963887,-95.579122,1995.0,3.0,3.0,2106.0,8002.0,77070,2200.0
29.794832,-95.414387,1951.0,3.0,2.0,1388.0,7200.0,77008,2250.0
29.96821,-95.495575,0.0,1.0,1.0,669.0,0.0,77066,1059.0
29.748814,-95.463876,0.0,1.0,1.0,740.0,0.0,77056,1945.0
29.854125,-95.276851,2019.0,3.0,3.0,1594.0,21061.0,77078,1425.0
29.735745,-95.474227,2005.0,3.0,4.0,2557.0,2405.0,77056,3250.0
29.726381,-95.528328,0.0,2.0,2.0,975.0,0.0,77063,1110.0
29.964417,-95.42878,0.0,3.0,2.0,1240.0,0.0,77067,1795.0
29.752613,-95.626778,1998.0,3.0,2.0,1617.0,879433.0,77077,2187.0
29.774981,-95.601883,0.0,2.0,2.0,975.0,0.0,77079,1299.0
29.738218,-95.600151,2022.0,1.0,1.0,750.0,0.0,77077,1257.0
29.706068,-95.526756,0.0,2.0,1.0,900.0,0.0,77036,1177.0
29.726023,-95.647751,0.0,1.0,1.0,692.0,0.0,77082,1082.0
29.673135,-95.356424,2023.0,3.0,3.0,2699.0,0.0,77051,2850.0
29.733976,-95.467125,0.0,3.0,2.0,1390.0,0.0,77056,2440.0
29.681524,-95.248207,0.0,2.0,1.0,830.0,0.0,77017,830.0
29.748146,-95.463867,0.0,2.0,2.0,1566.0,0.0,77056,4730.0
29.83949,-95.415783,2021.0,2.0,2.0,1200.0,0.0,77018,1300.0
29.773102,-95.613525,0.0,1.0,1.0,632.0,0.0,77079,1788.0
29.7521,-95.35046,0.0,0.0,1.0,567.0,0.0,77003,1230.0
29.955696,-95.168283,2006.0,4.0,2.0,2169.0,7082.0,77044,2400.0
29.713942,-95.510605,0.0,1.0,1.0,689.0,0.0,77036,1000.0
29.688417,-95.397459,0.0,2.0,1.0,812.0,0.0,77054,905.0
29.756022,-95.39288,1998.0,3.0,3.0,1688.0,2121.0,77019,3150.0
29.56769,-95.110718,0.0,1.0,1.0,761.0,0.0,77058,1156.0
29.797692,-95.53872,0.0,1.0,1.0,750.0,0.0,77080,1200.0
29.740248,-95.497124,0.0,2.0,1.0,815.0,0.0,77057,1164.0
29.726227,-95.444202,2000.0,3.0,4.0,3272.0,2566.0,77005,5200.0
29.717854,-95.381699,0.0,3.0,2.0,1508.0,0.0,77004,2939.0
29.723163,-95.379737,2007.0,3.0,3.0,2142.0,1716.0,77004,2800.0
29.603715,-95.303623,2016.0,3.0,2.0,1842.0,6608.0,77048,2200.0
29.845196,-95.446983,2003.0,1.0,1.0,665.0,0.0,77091,1056.0
29.737089,-95.408333,0.0,1.0,1.0,650.0,0.0,77098,1075.0
29.733751,-95.399673,0.0,1.0,1.0,700.0,0.0,77006,1450.0
29.752602,-95.499078,2016.0,2.0,3.0,1562.0,385587.0,77057,2996.0
29.759828,-95.388989,0.0,0.0,1.0,450.0,0.0,77019,1100.0
29.795265,-95.691414,0.0,1.0,1.0,902.0,0.0,77084,1400.0
29.780262,-95.486589,1964.0,1.0,1.0,800.0,372521.0,77024,1500.0
29.710379,-95.381798,0.0,0.0,1.0,654.0,0.0,77021,1380.0
29.7262,-95.420181,0.0,2.0,2.0,1080.0,0.0,77005,1960.0
29.890859,-95.437362,1975.0,3.0,2.0,1444.0,5929.0,77088,2000.0
29.786591,-95.575668,0.0,2.0,2.0,1407.0,0.0,77043,3131.0
29.809093,-95.432077,2016.0,3.0,4.0,2189.0,1725.0,77008,3000.0
30.068846,-95.25499,0.0,1.0,1.0,523.0,0.0,77339,1142.0
29.726238,-95.611328,1983.0,4.0,2.0,1781.0,5001.0,77082,2400.0
